Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),nectarforaging,,,STATE,2300.175,2426.079,125.904,,
for	NF01	20180704	12,2018-07-04 12:00:46,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180704_120447.avi,3312.480,25.0,Worker 2 (6),nectarforaging,,,STATE,2436.186,2477.439,41.253,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),nectarforaging,,,STATE,2501.454,2575.430,73.976,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),nectarforaging,,,STATE,2596.132,2601.105,4.973,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),nectarforaging,,,STATE,2618.882,2640.235,21.353,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),pollenforaging,,,STATE,2654.388,2673.665,19.277,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),pollenforaging,,,STATE,2681.340,2717.691,36.351,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),nectarforaging,,,STATE,2741.240,2746.741,5.501,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),nectarforaging,,,STATE,2773.035,2826.188,53.153,,
for	NF01	20180703	9,2018-07-03 09:00:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/NF/NF01/05_forNF01_1_20180703_090214.avi,3122.560,25.0,Worker 1 (4),nectarforaging,,,STATE,2877.210,2996.265,119.055,,
NF01	20180705	15,2018-07-05 15:00:53,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_forNF01_1_20180705_151957.avi,3401.880,25.0,Worker 1 (4),nectarforaging,,,STATE,3000.392,3027.621,27.229,,
NF01	20180705	15,2018-07-05 15:00:53,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/NF/NF01/05_forNF01_1_20180705_151957.avi,3401.880,25.0,Worker 1 (4),nectarforaging,,,STATE,3135.810,3260.198,124.388,,
