"","nestID","beeID","behav","timepoint","Caste","totCount"
"245","NF05","45","feedsbrood","late","worker",5
"246","NF05","23","feedsbrood","late","worker",1
"247","NF06","95","nectarforaging","late","worker",2
"248","NF06","8","nectarforaging","late","worker",5
"249","NF06","8","fillshoneypot","late","worker",1
"250","NF06","95","feedsbrood","late","worker",1
"251","NF06","76","nectarforaging","late","worker",6
"252","NF06","76","feedsbrood","late","worker",6
"253","NF07","13","nectarforaging","late","worker",5
"254","NF07","26","nectarforaging","late","worker",12
"255","NF10","72","feedsbrood","late","worker",2
"256","NF11","7","feedsbrood","late","worker",5
"257","NF11","20","feedsbrood","late","worker",1
"258","NF11","33","feedsbrood","late","worker",4
"259","NF11","20","nectarforaging","late","worker",3
"260","NF11","16","feedsbrood","late","worker",1
"261","NT01","10","feedsbrood","late","worker",6
"262","NT01","85","feedsbrood","late","worker",4
"263","NT01","73","feedsbrood","late","worker",4
"264","NT02","93","nectarforaging","late","worker",2
"265","NT02","92","feedsbrood","late","worker",9
"266","NT02","5","feedsbrood","late","worker",6
"267","NT02","5","nectarforaging","late","worker",8
"268","NT02","93","pollenforaging","late","worker",2
"269","NT02","5","pollenforaging","late","worker",11
"270","NT03","98","feedsbrood","late","worker",1
"271","NT03","34","feedsbrood","late","worker",3
"272","NT03","33","feedsbrood","late","worker",2
"273","NT04","25","feedsbrood","late","worker",6
"274","NT04","70","feedsbrood","late","worker",1
"275","NT04","70","nectarforaging","late","worker",4
"276","NT05","44","feedsbrood","late","worker",4
"277","NT05","43","feedsbrood","late","worker",12
"278","NT05","42","feedsbrood","late","worker",2
"279","NT06","13","feedsbrood","late","worker",8
"280","NT06","67","feedsbrood","late","worker",2
"281","NT06","38","feedsbrood","late","worker",2
"282","NT06","38","other","late","worker",1
"283","NT06","38","nectarforaging","late","worker",1
"284","NT10","7","feedsbrood","late","worker",1
"285","NT10","18","feedsbrood","late","worker",4
"286","NT10","45","nectarforaging","late","worker",1
"287","NT10","18","nectarforaging","late","worker",3
"288","NT11","61","nectarforaging","late","worker",2
"289","NT11","71","feedsbrood","late","worker",1
"290","NT11","35","nectarforaging","late","worker",4
"291","NT11","35","feedsbrood","late","worker",2
"292","NT12","14","nectarforaging","late","worker",1
"293","NT13","99","fillshoneypot","late","worker",4
