"","X","nestID","nestTYPE","beeID","caste","natal","beeType","addDate","diedDate","nectarforaging","feedsbrood","pollenforaging","egglaying","nBehavs","size","ovL1","ovL2","ovLavg","ovR1","ovR2","ovRavg","ovS1","ovS2","ovSavg","queen","nWork","nBees","lazy","allforaging","shannon","specBehav","specProp","BehavAssign","perfSpec","NF","PF","FB","EL"
"36",42,"NT02","NT","NT0292","W","KE1","orig",NA,NA,0,48,0,64,112,NA,2.8,NA,2.8,0,NA,0,2,NA,2,"queenless",3,3,"notLazy",0,0.682908104700472,"generalist",0.571428571428571,"egglaying",NA,"no","no","yes","yes"
"37",43,"NT02","NT","NT025","W","KE1","orig",NA,NA,19,37,54,32,142,NA,6.9,7.7,7.3,0,0,0,3.5,3.5,3.5,"queenless",3,3,"notLazy",21,1.32303134791069,"generalist",0.380281690140845,"pollenforaging",NA,"yes","yes","yes","yes"
"38",44,"NT03","NT","NT0333","W","KE1","orig",NA,NA,43,9,0,0,52,NA,NA,NA,0,0,0,0,1,1,1,"queenless",3,3,"notLazy",31,0.460731676834328,"nectarforaging",0.826923076923077,"nectarforaging",NA,"yes","no","yes","no"
"39",46,"NT03","NT","NT0334","W","KE1","orig",NA,NA,0,23,0,43,66,3,4.8,NA,4.8,1,1,1,4,4,4,"queenless",3,3,"notLazy",0,0.64650365200834,"generalist",0.651515151515151,"egglaying",NA,"no","no","yes","yes"
"40",47,"NT04","NT","NT0425","W","KE1","orig",NA,NA,0,23,0,38,61,NA,4.5,4,4.25,1,1,1,4,4,4,"queenless",3,3,"notLazy",0,0.6626010603049,"generalist",0.622950819672131,"egglaying",NA,"no","no","yes","yes"
"41",48,"NT04","NT","NT0470","W","KE1","orig",NA,NA,38,8,0,0,46,NA,NA,NA,0,0,0,0,2,2,2,"queenless",3,3,"notLazy",18,0.462036909466457,"nectarforaging",0.826086956521739,"nectarforaging",NA,"yes","no","yes","no"
"42",50,"NT05","NT","NT0543","W","KE1","orig",NA,NA,30,18,0,7,55,2.5,3.1,2.4,2.75,0,0,0,3,2,2.5,"queenless",3,3,"notLazy",3,0.958533473680056,"generalist",0.545454545454545,"nectarforaging",NA,"yes","no","yes","yes"
"43",51,"NT05","NT","NT0544","W","KE1","orig",NA,NA,0,6,0,18,24,2.65,2.1,2.3,2.2,0,0,0,2,2,2,"queenless",3,3,"notLazy",0,0.562335144618808,"egglaying",0.75,"egglaying",NA,"no","no","yes","yes"
"44",52,"NT05","NT","NT0542","W","KE1","orig",NA,NA,0,4,0,3,7,2.55,3.9,4.9,4.4,0,0,0,4,4,4,"queenless",3,3,"notLazy",0,0.682908104700472,"generalist",0.571428571428571,"feedsbrood",NA,"no","no","yes","yes"
"45",53,"NT06","NT","NT0638","W","VB01","orig",NA,NA,33,3,0,0,36,2.6,NA,NA,0,0,0,0,2,1,1.5,"queenless",3,3,"notLazy",10,0.286835983056161,"nectarforaging",0.916666666666667,"nectarforaging",NA,"yes","no","yes","no"
"46",54,"NT06","NT","NT0667","W","VB01","orig",NA,NA,0,10,0,0,10,2.6,3.9,NA,3.9,0,1,0.5,4,4,4,"queenless",3,3,"notLazy",0,0,"feedsbrood",1,"feedsbrood",4,"no","no","yes","no"
